class,app,p,pf,qf,vf
1,2,0.064401,0.55844,0.82843,0.078641
1,2,0.063785,0.55917,0.82787,0.078202
1,2,0.063202,0.56289,0.82533,0.078346
1,2,0.063523,0.55783,0.82879,0.077687
1,2,0.063342,0.55502,0.83076,0.077384
1,2,0.062826,0.55278,0.83228,0.077399
1,2,0.062105,0.55442,0.83118,0.078304
1,2,0.061661,0.55104,0.83349,0.077405
1,2,0.061376,0.54253,0.83908,0.07629
1,2,0.063939,0.55007,0.83387,0.078963
1,2,0.064123,0.55208,0.83258,0.079486
1,2,0.065437,0.55918,0.82782,0.080788
1,2,0.065961,0.56339,0.82498,0.081289
1,2,0.066214,0.56649,0.82278,0.082023
1,2,0.066458,0.56668,0.82257,0.080712
1,2,0.066274,0.56428,0.8243,0.080931
1,2,0.066098,0.56151,0.82616,0.080509
1,2,0.065789,0.56088,0.82666,0.080065
1,2,0.065428,0.55828,0.82832,0.079665
1,2,0.065284,0.5585,0.82836,0.079307
1,2,0.065288,0.55667,0.82965,0.07966
1,2,0.06498,0.55512,0.83056,0.080327
1,2,0.064391,0.54943,0.8344,0.080229
1,2,0.06403,0.54744,0.83569,0.079079
1,2,0.063994,0.54642,0.83634,0.079778
1,2,0.063852,0.54761,0.83555,0.079026
1,2,0.063461,0.54499,0.8374,0.078796
1,2,0.062787,0.54067,0.84014,0.078786
1,2,0.062186,0.53701,0.84247,0.079058
1,2,0.050997,0.55743,0.82395,0.11516
1,2,0.064492,0.56624,0.8226,0.090192
1,2,0.066708,0.57827,0.81409,0.091106
1,2,0.069121,0.58379,0.80975,0.091688
1,2,0.070297,0.57843,0.81392,0.092656
1,2,0.071343,0.58289,0.81065,0.093905
1,2,0.071814,0.58428,0.80977,0.093022
1,2,0.07221,0.59481,0.80196,0.089164
1,2,0.072646,0.58857,0.80675,0.089195
1,2,0.071917,0.58399,0.81006,0.088398
1,2,0.07272,0.59375,0.80227,0.089523
1,2,0.072744,0.59039,0.80535,0.090478
1,2,0.072592,0.59657,0.8007,0.091412
1,2,0.072225,0.59659,0.80068,0.092187
1,2,0.071609,0.59575,0.80115,0.09432
1,2,0.070888,0.59295,0.80321,0.09653
1,2,0.070728,0.58741,0.80728,0.096265
1,2,0.070559,0.58153,0.81164,0.095194
1,2,0.070529,0.58384,0.81003,0.094389
1,2,0.070229,0.58226,0.81105,0.094418
1,2,0.070411,0.58692,0.80748,0.09235
1,2,0.069223,0.60043,0.79688,0.096417
1,2,0.070073,0.58341,0.81016,0.093385
1,2,0.070399,0.58291,0.81041,0.092909
1,2,0.070856,0.58356,0.81023,0.092688
1,2,0.070686,0.58327,0.81056,0.092158
1,2,0.070052,0.59063,0.80499,0.091029
1,2,0.069595,0.578,0.8144,0.091297
1,2,0.069424,0.57637,0.81539,0.091912
1,2,0.069188,0.57411,0.81705,0.092746
